job_title,occupation_group,occupation,occupation_group_index,occupation_index
ตกแต่งหน้าร้าน,Display Designer,Visual Merchandiser,42,581
พนักงานเซเว่น,Warehouse Management,Store Officer,151,529
ผู้ตรวจสอบผลิตภัณฑ์ปลา,Agricultural And Natural Resources,Agricultural and Fish Product Inspector,6,18
Vice President Facilities Management (ผู้อำนวยการด้านบริหารอาคารและสถานที่),Building Manager,Building Manager,21,70
ครูปฐมวัย,Teacher,Pre Elementary Teacher,140,432
Policy delivery officer,Advertising and PR,PR Executive,5,400
เภสัช/ นักรังสีเทคนิค/ พยาบาลวิชาชีพ,Pharmacist,Pharmacist,107,413
Fitness Instructor,Fitness & Sports Trainer,Fitness & Sports Trainer,57,233
Category Administrative,Marketing,Category Administrative,88,91
RMD Trainee,Management Trainee,Management Trainee,87,337
ช่างแพทเทิร์น,Fashion Designer,Pattern Maker,54,406
Payroll Outsourcing Consultant,Accounting,Accounting Consultant,1,6
Web Master / Social Network Staff,IT and Computer,Web Administrator,74,589
แผนกวัตถุปรุงแต่งอาหาร,Food Scientist,Food Additive,63,239
Operator,Administration,Telephone Operator,2,552
Senior Advertising Sales (30K-40K),Sales,Sales,132,495
"Web Developer , Webmaster , Web content editor , Web Programming , System Analyst , Graphic Designer , Product Design , Import Purchase , Printing Purchase , Online Marketing Manager,Factory System Control,General Manager",IT and Computer,Web Administrator,74,589
Reception and Liaison Officer,Project Coordinator,Project Coordinator,121,454
Sommelier,Food Preparation,Wine Steward (Sommelier),62,594
เจ้าหน้าที่ออกแบบบรรจุภัณฑ์ด้านอาหาร,Research and Development,Packaging Development,128,403
"Product Manager (- Rapid Test, POCT) (Determine HIV, Syphilis, Alltest Dengue)",Business Manager,Business Manager,24,76
ช่างประกอบ ช่างติดตั้ง และช่างซ่อมบริการ,Technician,Instrument Repair Technician,141,300
General Administration,Administration,Administrator,2,8
Lecturer,Lecturer,Lecturer,83,324
CSR for Project-Based Campaign,Corporate Social Responsibility,Corporate Social Responsibility,34,139
ที่ปรึกษาฝ่ายขาย,Sales,Sales,132,495
พนักงานพิสูจน์อักษร,Writer and Editor,Proof Reader,152,458
Engineer Facility,Engineering,Facilities Engineer,50,214
KITCHEN CREW,Food Preparation,Food Preparation,62,241
Program Assistant,Broadcasting,Program Assistant,20,452
นักหนังสือพิมพ์,Writer and Editor,Journalist,152,314
warehouse officer&logistics coordinator,Warehouse Management,Warehouse and Logistics Officer,151,587
Captain / กัปตันร้านอาหาร,Restaurant Manager,Restaurant Manager,130,490
Laboratory Supervisor,Lab Technician,Lab Specialist,80,317
คนสวน,Housekeeping,Gardener,72,253
นักวางแผนงานอีเว้นท์และการประชุม,Event,Event Planner,53,209
senior sale & marketing,Marketing,Marketing Officer,88,344
Marketing and Advertising Specialist,Advertising,Advertising Specialist,4,12
Senior Operations cum Travel Executive,Travel Agent,Travel Agent,147,569
ผู้เขียนแบบ,Fashion Designer,Pattern Maker,54,406
Graphic Design,Graphic Designer,Graphic Designer,68,263
นักวางแผนงานอีเว้นท์และการประชุม,Event,Event Planner,53,209
Game Operation – Mobile FPS Game,Multimedia,Game Mathematician,96,252
พนักงานเคาเตอร์,Customer Service,Receptionist,37,475
Assistant Program Manager,Administration,Administrator,2,8
<font color=red><b>Urgently Required!!!</font color></b> Food Technologist [Job ID:11663],Food Scientist,Food Scientist,63,242
นักวิทยาศาสตร์,Scientist,Scientist,133,503
เจ้าหน้าที่ประเมินภาษี,Lawyer,Tax Assessor,82,541
นักเวชศาสตร์กีฬา,Physical Consultant,Sports Medical Trainer,109,526
Digital Marketing Manager ,Marketing,Online Marketing Manager,88,384
Assistant Site Manager,Engineering,Site Manager,50,517
ผู่ช่วยแพทย์ห้องผ่าตัด OR / Medical Assistant,Medical Assistant,Medical Assistant,91,358
Digital Marketing Supervisor,Marketing,Online Marketing Manager,88,384
ครูสอนคอมพิวเตอร์,Teacher,Computer Teacher,140,128
"Specialist, Group Branding (Graphic Design)",Advertising,Advertising Specialist,4,12
หัวหน้าทีมขาย,Sales,Sales,132,495
Optometrist,Optician,Optometrist,104,392
เจ้าหน้าที่สนับสนุนธุรกิจ,Marketing,Business Officer,88,77
PR Asistant Manager (3  อัตรา),Advertising and PR,PR Manager,5,401
หาคอลัมนิสต์ประจำนิตยสาร,Writer and Editor,Columnist,152,119
Investment Research Assistant,Finance,Investment Analyst,55,306
ผู้จัดการกองทุน ( Investment ),Finance,Fund Manager,55,247
Chemical Engineering,Engineering,Chemical Engineer,50,96
Research Manager (Ads/PR),Advertising and PR,Research Manager,5,482
MIS  Manager,IT and Computer,Management Information System(MIS),74,336
Project Manager (IT Solutions),IT and Computer,Project Manager - IT,74,457
Production Planning,Production,Production Planner,118,448
เเครชเชียร์/เสริฟ์/ครัวพาสต้า,Food & Beverage Serving,Food & Beverage Serving,60,238
"รับสมัครผู้ช่วยทันตแพทย์ประจำคลินิกใกล้รถไฟฟ้า รายได้ 15,000++",Medical Assistant,Dental Assistant,91,160
หัวหน้าแผนกควบคุมความปลอดภัย,Security Guard,Security Supervisor,135,508
AE Organizer,Account Executive,Account Executive,0,2
Waitress and Receptionist.,Food & Beverage Serving,Food & Beverage Serving,60,238
พัฒนาชุมชน,Administration,Community Officer,2,125
CRA Trainee,Clinical Researcher,Clinical Research Associate,29,112
พนักงานขายตัวแทนจำหน่าย,Sales,Sales,132,495
Call Center,Customer Service,Call Center Representative,37,84
Events Co-ordinator / Planner,Event,Event Planner,53,209
นักวางแผนการเงิน,Finance,Financial Planner,55,229
ไฟฟ้าบริการ,Electrician,Electrician,48,191
ช่างแพทเทิร์น,Fashion Designer,Pattern Maker,54,406
ช่างซ่อมและทำลิฟต์,Construction/Building Technician,Elevetor Constructor and Mechanic,31,194
ผู้ช่วยบรรณาธิการฝ่ายผลิตหนังสือตำราวิชาการ<br>(R53-042),Writer and Editor,Assistant Editor,152,40
Merchandiser (Sanitary Products)<br>Merchandiser (อุปกรณ์สุขภัณฑ์),Purchasing,Merchandiser,125,367
เจ้าหน้าที่บัญชี,Accounting,Accountant,1,4
Pathology Services,Laboratory/Pathology Services,Laboratory/Pathology Services,81,320
sales & marketing director,Sales,Sales,132,495
Site engineer.,Engineering,Site Engineer,50,515
Purchase Administrative Officer -- เจ้าหน้าที่ธุรการจัดซื้อ,Purchasing,Purchasing Executive,125,464
CONFERENCE EXECUTIVE (CE) /<br>CONFERENCE MANAGER (CM),Event,Event Management,53,207
Product Trainer (Agricultural Products),Agricultural And Natural Resources,Agricultural and Fish Product Inspector,6,18
Cabin Crew,Flight Attendant,Cabin Crew,58,82
Project Manager / Civil Engineer (ปฎิบัติงาน จังหวัดสุราษฎร์ธานี),Engineering,Construction Manager,50,132
งานประมง,Fisherman,Fishing & Fishing Vessel Operation,56,231
Local Operator,Administration,Telephone Operator,2,552
หัวหน้าแผนก Quality Control Engineering,Quality Assurance,Quality Control,126,468
วิศวกรเหมืองแร่,Engineering,Mining Engineer,50,370
Chief Operation (Temporary 1 Year),Operation Staff,Operation Staff,103,386
วิศวกรไฟฟ้า,Engineering,Electrical Engineer,50,190
Freelance Tutor,Teacher,Tutor,140,571
Student Affairs Academics,Administration,Administrator,2,8
Operation Management Trainee,Management Trainee,Management Trainee,87,337
Executive Director,Top Level Executive,Director,142,169
พนักงานการแพทย์​และรังสีเทคนิค,Medical Technologist,Radio Technologist,93,471
Organizer (ภาคใต้),Event,Organizer,53,394
รองผู้อำนวยการ,Top Level Executive,Managing Director,142,338
Bi Developer,Data,Data Analytic,38,153
Consumer Segment Research and Project Team Leader / Specialist (RT),Research and Development,Product Development Manager,128,442
Thai Production Research & Seed Technology Scientist,Agricultural And Natural Resources,Agronomist,6,22
Administrative Executive,Administration,Administrator,2,8
ธุรการวิศวกรรม,Administration,Administrator,2,8
<font color=red><b>URGENT!!!</font color></b><br>SENIOR ENGINEER - DRILLING FLUIDS,Engineering,Drilling Engineer,50,180
เขียนแบบไฟฟ้า,Design Drafter,Design Drafter,40,165
ช่างเทคนิคเครื่องมือแพทย์ (Engineer) (2 อัตรา),Medical Equipment Repair Technician,Medical Equipment Repair Technician,92,360
Online Marketer & Graphic Design,Marketing,Online Marketing Officer,88,385
Visual Merchandiser,Display Designer,Visual Merchandiser,42,581
Community Relations Specialist,Administration,Community Officer,2,125
Product Development Supervisor,Research and Development,Product Development Manager,128,442
Personal Financial Consultant,Finance,Financial Consultant,55,225
Mechanical Engineer,Engineering,Mechanical Engineer,50,353
ตรวจสอบคุณภาพ,Quality Assurance,Quality Assurance,126,467
โฟร์แมนสนาม,Engineering,Site Foreman,50,516
เจ้าหน้าที่งานสารสนเทศ ,IT and Computer,ICT,74,284
พนักงานประจำสาขา Louisa Coffee,Food Preparation,Food Preparation,62,241
